Driver,LapNumber,Compound,TyreLife,Stint,Position,LapTimeSeconds,PitStopLap,PitStopNextLap
ALB,2.0,HARD,1.0,2.0,9.0,142.255,1,0
ALB,3.0,HARD,2.0,2.0,9.0,87.834,0,0
ALB,4.0,HARD,3.0,2.0,9.0,83.286,0,0
ALB,5.0,HARD,4.0,2.0,9.0,83.369,0,0
ALB,6.0,HARD,5.0,2.0,9.0,83.416,0,0
ALB,7.0,HARD,6.0,2.0,9.0,81.913,0,0
ALB,8.0,HARD,7.0,2.0,9.0,81.536,0,0
ALB,9.0,HARD,8.0,2.0,9.0,82.004,0,0
ALB,10.0,HARD,9.0,2.0,9.0,81.562,0,0
ALB,11.0,HARD,10.0,2.0,9.0,81.514,0,0
ALB,12.0,HARD,11.0,2.0,9.0,80.821,0,0
ALB,13.0,HARD,12.0,2.0,9.0,81.42,0,0
ALB,14.0,HARD,13.0,2.0,9.0,80.591,0,0
ALB,15.0,HARD,14.0,2.0,9.0,80.591,0,0
ALB,16.0,HARD,15.0,2.0,9.0,80.793,0,0
ALB,17.0,HARD,16.0,2.0,9.0,81.137,0,0
ALB,18.0,HARD,17.0,2.0,9.0,80.042,0,0
ALB,19.0,HARD,18.0,2.0,9.0,80.245,0,0
ALB,20.0,HARD,19.0,2.0,9.0,80.36,0,0
ALB,21.0,HARD,20.0,2.0,9.0,80.937,0,0
ALB,22.0,HARD,21.0,2.0,9.0,80.542,0,0
ALB,23.0,HARD,22.0,2.0,9.0,80.143,0,0
ALB,24.0,HARD,23.0,2.0,9.0,80.517,0,0
ALB,25.0,HARD,24.0,2.0,9.0,80.323,0,0
ALB,26.0,HARD,25.0,2.0,9.0,80.463,0,0
ALB,27.0,HARD,26.0,2.0,9.0,80.509,0,0
ALB,28.0,HARD,27.0,2.0,9.0,79.51,0,0
ALB,29.0,HARD,28.0,2.0,9.0,80.271,0,0
ALB,30.0,HARD,29.0,2.0,9.0,81.439,0,0
ALB,31.0,HARD,30.0,2.0,9.0,80.941,0,0
ALB,32.0,HARD,31.0,2.0,9.0,80.148,0,0
ALB,33.0,HARD,32.0,2.0,9.0,79.491,0,0
ALB,34.0,HARD,33.0,2.0,9.0,79.134,0,0
ALB,35.0,HARD,34.0,2.0,9.0,78.816,0,0
ALB,36.0,HARD,35.0,2.0,9.0,81.628,0,0
ALB,37.0,HARD,36.0,2.0,9.0,80.775,0,0
ALB,38.0,HARD,37.0,2.0,9.0,80.314,0,0
ALB,39.0,HARD,38.0,2.0,9.0,80.389,0,0
ALB,40.0,HARD,39.0,2.0,9.0,79.812,0,0
ALB,41.0,HARD,40.0,2.0,9.0,79.329,0,0
ALB,42.0,HARD,41.0,2.0,9.0,80.084,0,0
ALB,43.0,HARD,42.0,2.0,9.0,79.496,0,0
ALB,44.0,HARD,43.0,2.0,9.0,79.683,0,0
ALB,45.0,HARD,44.0,2.0,9.0,81.748,0,0
ALB,46.0,HARD,45.0,2.0,9.0,80.594,0,0
ALB,47.0,HARD,46.0,2.0,9.0,80.462,0,0
ALB,48.0,HARD,47.0,2.0,9.0,79.321,0,0
ALB,49.0,HARD,48.0,2.0,9.0,79.378,0,0
ALB,50.0,HARD,49.0,2.0,9.0,79.268,0,0
ALB,51.0,HARD,50.0,2.0,9.0,78.863,0,0
ALB,52.0,HARD,51.0,2.0,9.0,81.554,0,0
ALB,53.0,HARD,52.0,2.0,9.0,80.7,0,0
ALB,54.0,HARD,53.0,2.0,9.0,83.647,0,0
ALB,55.0,HARD,54.0,2.0,9.0,79.085,0,0
ALB,56.0,HARD,55.0,2.0,9.0,78.796,0,0
ALB,57.0,HARD,56.0,2.0,9.0,78.271,0,0
ALB,58.0,HARD,57.0,2.0,9.0,78.69,0,0
ALB,59.0,HARD,58.0,2.0,9.0,78.201,0,0
ALB,60.0,HARD,59.0,2.0,9.0,79.533,0,0
ALB,61.0,HARD,60.0,2.0,9.0,80.222,0,0
ALB,62.0,HARD,61.0,2.0,9.0,79.506,0,0
ALB,63.0,HARD,62.0,2.0,9.0,83.085,0,0
ALB,64.0,HARD,63.0,2.0,9.0,77.911,0,0
ALB,65.0,HARD,64.0,2.0,9.0,77.261,0,0
ALB,66.0,HARD,65.0,2.0,9.0,78.003,0,0
ALB,67.0,HARD,66.0,2.0,9.0,77.874,0,0
ALB,68.0,HARD,67.0,2.0,9.0,78.385,0,0
ALB,69.0,HARD,68.0,2.0,9.0,79.921,0,0
ALB,70.0,HARD,69.0,2.0,9.0,79.37,0,0
ALB,71.0,HARD,70.0,2.0,9.0,78.957,0,0
ALB,72.0,HARD,71.0,2.0,9.0,78.165,0,0
ALB,73.0,HARD,72.0,2.0,9.0,78.432,0,0
ALB,74.0,HARD,73.0,2.0,9.0,78.014,0,0
ALB,75.0,HARD,74.0,2.0,9.0,77.85,0,0
ALB,76.0,HARD,75.0,2.0,9.0,77.279,0,0
ALB,77.0,HARD,76.0,2.0,9.0,77.06,0,0
ALO,2.0,MEDIUM,2.0,2.0,13.0,124.571,1,0
ALO,3.0,MEDIUM,3.0,2.0,12.0,89.188,0,0
ALO,4.0,MEDIUM,4.0,2.0,12.0,83.736,0,0
ALO,5.0,MEDIUM,5.0,2.0,12.0,83.575,0,0
ALO,6.0,MEDIUM,6.0,2.0,12.0,82.711,0,0
ALO,7.0,MEDIUM,7.0,2.0,12.0,82.866,0,0
ALO,8.0,MEDIUM,8.0,2.0,12.0,82.284,0,0
ALO,9.0,MEDIUM,9.0,2.0,12.0,81.65,0,0
ALO,10.0,MEDIUM,10.0,2.0,12.0,81.864,0,0
ALO,11.0,MEDIUM,11.0,2.0,12.0,81.418,0,0
ALO,12.0,MEDIUM,12.0,2.0,12.0,81.366,0,0
ALO,13.0,MEDIUM,13.0,2.0,12.0,81.428,0,0
ALO,14.0,MEDIUM,14.0,2.0,12.0,81.392,0,0
ALO,15.0,MEDIUM,15.0,2.0,12.0,81.061,0,0
ALO,16.0,MEDIUM,16.0,2.0,12.0,81.318,0,0
ALO,17.0,MEDIUM,17.0,2.0,12.0,80.799,0,0
ALO,18.0,MEDIUM,18.0,2.0,12.0,81.075,0,0
ALO,19.0,MEDIUM,19.0,2.0,12.0,80.605,0,0
ALO,20.0,MEDIUM,20.0,2.0,12.0,81.11,0,0
ALO,21.0,MEDIUM,21.0,2.0,12.0,80.317,0,0
ALO,22.0,MEDIUM,22.0,2.0,12.0,81.037,0,0
ALO,23.0,MEDIUM,23.0,2.0,12.0,80.246,0,0
ALO,24.0,MEDIUM,24.0,2.0,12.0,81.413,0,0
ALO,25.0,MEDIUM,25.0,2.0,12.0,81.091,0,0
ALO,26.0,MEDIUM,26.0,2.0,12.0,80.858,0,0
ALO,27.0,MEDIUM,27.0,2.0,12.0,81.303,0,0
ALO,28.0,MEDIUM,28.0,2.0,12.0,81.544,0,0
ALO,29.0,MEDIUM,29.0,2.0,12.0,81.205,0,0
ALO,30.0,MEDIUM,30.0,2.0,12.0,81.034,0,0
ALO,31.0,MEDIUM,31.0,2.0,12.0,80.642,0,0
ALO,32.0,MEDIUM,32.0,2.0,12.0,81.01,0,0
ALO,33.0,MEDIUM,33.0,2.0,12.0,80.35,0,0
ALO,34.0,MEDIUM,34.0,2.0,12.0,80.877,0,0
ALO,35.0,MEDIUM,35.0,2.0,12.0,80.432,0,0
ALO,36.0,MEDIUM,36.0,2.0,12.0,81.128,0,0
ALO,37.0,MEDIUM,37.0,2.0,12.0,81.512,0,0
ALO,38.0,MEDIUM,38.0,2.0,12.0,81.082,0,0
ALO,39.0,MEDIUM,39.0,2.0,12.0,81.265,0,0
ALO,40.0,MEDIUM,40.0,2.0,12.0,80.755,0,0
ALO,41.0,MEDIUM,41.0,2.0,12.0,83.446,0,0
ALO,42.0,MEDIUM,42.0,2.0,12.0,83.332,0,0
ALO,43.0,MEDIUM,43.0,2.0,12.0,80.286,0,0
ALO,44.0,MEDIUM,44.0,2.0,12.0,78.852,0,0
ALO,45.0,MEDIUM,45.0,2.0,12.0,79.956,0,0
ALO,46.0,MEDIUM,46.0,2.0,12.0,78.928,0,0
ALO,47.0,MEDIUM,47.0,2.0,12.0,79.109,0,0
ALO,48.0,MEDIUM,48.0,2.0,11.0,80.315,0,0
ALO,49.0,MEDIUM,49.0,2.0,11.0,79.837,0,0
ALO,50.0,MEDIUM,50.0,2.0,11.0,79.334,0,0
ALO,51.0,MEDIUM,51.0,2.0,11.0,80.636,0,0
ALO,52.0,MEDIUM,52.0,2.0,11.0,83.377,0,0
ALO,53.0,MEDIUM,53.0,2.0,11.0,79.992,0,0
ALO,54.0,MEDIUM,54.0,2.0,11.0,79.191,0,0
ALO,55.0,MEDIUM,55.0,2.0,11.0,79.411,0,0
ALO,56.0,MEDIUM,56.0,2.0,11.0,80.739,0,0
ALO,57.0,MEDIUM,57.0,2.0,11.0,80.6,0,0
ALO,58.0,MEDIUM,58.0,2.0,11.0,79.229,0,0
ALO,59.0,MEDIUM,59.0,2.0,11.0,79.219,0,0
ALO,60.0,MEDIUM,60.0,2.0,11.0,79.166,0,0
ALO,61.0,MEDIUM,61.0,2.0,11.0,78.752,0,0
ALO,62.0,MEDIUM,62.0,2.0,11.0,78.816,0,0
ALO,63.0,MEDIUM,63.0,2.0,11.0,78.556,0,0
ALO,64.0,MEDIUM,64.0,2.0,11.0,78.736,0,0
ALO,65.0,MEDIUM,65.0,2.0,11.0,78.633,0,0
ALO,66.0,MEDIUM,66.0,2.0,11.0,78.637,0,0
ALO,67.0,MEDIUM,67.0,2.0,11.0,78.126,0,0
ALO,68.0,MEDIUM,68.0,2.0,11.0,77.939,0,0
ALO,69.0,MEDIUM,69.0,2.0,11.0,78.713,0,0
ALO,70.0,MEDIUM,70.0,2.0,11.0,78.473,0,0
ALO,71.0,MEDIUM,71.0,2.0,11.0,78.133,0,0
ALO,72.0,MEDIUM,72.0,2.0,11.0,78.081,0,0
ALO,73.0,MEDIUM,73.0,2.0,11.0,78.504,0,0
ALO,74.0,MEDIUM,74.0,2.0,11.0,80.336,0,0
ALO,75.0,MEDIUM,75.0,2.0,11.0,78.663,0,0
ALO,76.0,MEDIUM,76.0,2.0,11.0,79.053,0,0
BOT,2.0,MEDIUM,1.0,2.0,15.0,116.358,1,0
BOT,3.0,MEDIUM,2.0,2.0,14.0,89.743,0,0
BOT,4.0,MEDIUM,3.0,2.0,14.0,83.386,0,0
BOT,5.0,MEDIUM,4.0,2.0,14.0,83.636,0,0
BOT,6.0,MEDIUM,5.0,2.0,14.0,82.868,0,0
BOT,7.0,MEDIUM,6.0,2.0,14.0,82.832,0,0
