Driver,LapNumber,LapTime,Compound,TyreLife,Stint,Position
LEC,1.0,0 days 00:40:56.330000,MEDIUM,1.0,1.0,1.0
LEC,2.0,,HARD,1.0,2.0,1.0
LEC,3.0,0 days 00:01:24.624000,HARD,2.0,2.0,1.0
LEC,4.0,0 days 00:01:22.625000,HARD,3.0,2.0,1.0
LEC,5.0,0 days 00:01:21.795000,HARD,4.0,2.0,1.0
LEC,6.0,0 days 00:01:21.145000,HARD,5.0,2.0,1.0
LEC,7.0,0 days 00:01:20.980000,HARD,6.0,2.0,1.0
LEC,8.0,0 days 00:01:21.030000,HARD,7.0,2.0,1.0
LEC,9.0,0 days 00:01:20.114000,HARD,8.0,2.0,1.0
LEC,10.0,0 days 00:01:20.775000,HARD,9.0,2.0,1.0
LEC,11.0,0 days 00:01:21.046000,HARD,10.0,2.0,1.0
LEC,12.0,0 days 00:01:20.252000,HARD,11.0,2.0,1.0
LEC,13.0,0 days 00:01:19.017000,HARD,12.0,2.0,1.0
LEC,14.0,0 days 00:01:19.913000,HARD,13.0,2.0,1.0
LEC,15.0,0 days 00:01:19.838000,HARD,14.0,2.0,1.0
LEC,16.0,0 days 00:01:20.156000,HARD,15.0,2.0,1.0
LEC,17.0,0 days 00:01:20.279000,HARD,16.0,2.0,1.0
LEC,18.0,0 days 00:01:19.580000,HARD,17.0,2.0,1.0
LEC,19.0,0 days 00:01:18.842000,HARD,18.0,2.0,1.0
LEC,20.0,0 days 00:01:18.724000,HARD,19.0,2.0,1.0
LEC,21.0,0 days 00:01:18.472000,HARD,20.0,2.0,1.0
LEC,22.0,0 days 00:01:18.620000,HARD,21.0,2.0,1.0
LEC,23.0,0 days 00:01:18.458000,HARD,22.0,2.0,1.0
LEC,24.0,0 days 00:01:18.725000,HARD,23.0,2.0,1.0
LEC,25.0,0 days 00:01:18.973000,HARD,24.0,2.0,1.0
LEC,26.0,0 days 00:01:18.445000,HARD,25.0,2.0,1.0
LEC,27.0,0 days 00:01:18.351000,HARD,26.0,2.0,1.0
LEC,28.0,0 days 00:01:18.710000,HARD,27.0,2.0,1.0
LEC,29.0,0 days 00:01:19.053000,HARD,28.0,2.0,1.0
LEC,30.0,0 days 00:01:19.935000,HARD,29.0,2.0,1.0
LEC,31.0,0 days 00:01:18.393000,HARD,30.0,2.0,1.0
LEC,32.0,0 days 00:01:19.125000,HARD,31.0,2.0,1.0
LEC,33.0,0 days 00:01:18.494000,HARD,32.0,2.0,1.0
LEC,34.0,0 days 00:01:19.319000,HARD,33.0,2.0,1.0
LEC,35.0,0 days 00:01:18.530000,HARD,34.0,2.0,1.0
LEC,36.0,0 days 00:01:18.689000,HARD,35.0,2.0,1.0
LEC,37.0,0 days 00:01:18.925000,HARD,36.0,2.0,1.0
LEC,38.0,0 days 00:01:18.528000,HARD,37.0,2.0,1.0
LEC,39.0,0 days 00:01:18.181000,HARD,38.0,2.0,1.0
LEC,40.0,0 days 00:01:18.733000,HARD,39.0,2.0,1.0
LEC,41.0,0 days 00:01:18.694000,HARD,40.0,2.0,1.0
