Driver,LapNumber,Compound,TyreLife,Stint,Position,LapTimeSeconds
LEC,1.0,MEDIUM,1.0,1.0,1.0,2456.33
LEC,3.0,HARD,2.0,2.0,1.0,84.624
LEC,4.0,HARD,3.0,2.0,1.0,82.625
LEC,5.0,HARD,4.0,2.0,1.0,81.795
LEC,6.0,HARD,5.0,2.0,1.0,81.145
LEC,7.0,HARD,6.0,2.0,1.0,80.98
LEC,8.0,HARD,7.0,2.0,1.0,81.03
LEC,9.0,HARD,8.0,2.0,1.0,80.114
LEC,10.0,HARD,9.0,2.0,1.0,80.775
LEC,11.0,HARD,10.0,2.0,1.0,81.046
LEC,12.0,HARD,11.0,2.0,1.0,80.252
LEC,13.0,HARD,12.0,2.0,1.0,79.017
LEC,14.0,HARD,13.0,2.0,1.0,79.913
LEC,15.0,HARD,14.0,2.0,1.0,79.838
LEC,16.0,HARD,15.0,2.0,1.0,80.156
LEC,17.0,HARD,16.0,2.0,1.0,80.279
LEC,18.0,HARD,17.0,2.0,1.0,79.58
LEC,19.0,HARD,18.0,2.0,1.0,78.842
LEC,20.0,HARD,19.0,2.0,1.0,78.724
LEC,21.0,HARD,20.0,2.0,1.0,78.472
LEC,22.0,HARD,21.0,2.0,1.0,78.62
LEC,23.0,HARD,22.0,2.0,1.0,78.458
LEC,24.0,HARD,23.0,2.0,1.0,78.725
LEC,25.0,HARD,24.0,2.0,1.0,78.973
LEC,26.0,HARD,25.0,2.0,1.0,78.445
LEC,27.0,HARD,26.0,2.0,1.0,78.351
LEC,28.0,HARD,27.0,2.0,1.0,78.71
LEC,29.0,HARD,28.0,2.0,1.0,79.053
LEC,30.0,HARD,29.0,2.0,1.0,79.935
LEC,31.0,HARD,30.0,2.0,1.0,78.393
LEC,32.0,HARD,31.0,2.0,1.0,79.125
LEC,33.0,HARD,32.0,2.0,1.0,78.494
LEC,34.0,HARD,33.0,2.0,1.0,79.319
LEC,35.0,HARD,34.0,2.0,1.0,78.53
LEC,36.0,HARD,35.0,2.0,1.0,78.689
LEC,37.0,HARD,36.0,2.0,1.0,78.925
LEC,38.0,HARD,37.0,2.0,1.0,78.528
LEC,39.0,HARD,38.0,2.0,1.0,78.181
LEC,40.0,HARD,39.0,2.0,1.0,78.733
LEC,41.0,HARD,40.0,2.0,1.0,78.694
LEC,42.0,HARD,41.0,2.0,1.0,79.277
LEC,43.0,HARD,42.0,2.0,1.0,77.865
LEC,44.0,HARD,43.0,2.0,1.0,78.276
LEC,45.0,HARD,44.0,2.0,1.0,78.541
LEC,46.0,HARD,45.0,2.0,1.0,78.567
LEC,47.0,HARD,46.0,2.0,1.0,79.185
LEC,48.0,HARD,47.0,2.0,1.0,77.941
LEC,49.0,HARD,48.0,2.0,1.0,78.506
LEC,50.0,HARD,49.0,2.0,1.0,78.185
LEC,51.0,HARD,50.0,2.0,1.0,77.79
LEC,52.0,HARD,51.0,2.0,1.0,78.311
LEC,53.0,HARD,52.0,2.0,1.0,77.748
LEC,54.0,HARD,53.0,2.0,1.0,77.357
LEC,55.0,HARD,54.0,2.0,1.0,77.444
LEC,56.0,HARD,55.0,2.0,1.0,77.266
LEC,57.0,HARD,56.0,2.0,1.0,77.64
LEC,58.0,HARD,57.0,2.0,1.0,77.028
LEC,59.0,HARD,58.0,2.0,1.0,77.034
LEC,60.0,HARD,59.0,2.0,1.0,76.414
LEC,61.0,HARD,60.0,2.0,1.0,76.863
LEC,62.0,HARD,61.0,2.0,1.0,77.454
LEC,63.0,HARD,62.0,2.0,1.0,76.971
LEC,64.0,HARD,63.0,2.0,1.0,76.56
LEC,65.0,HARD,64.0,2.0,1.0,76.607
